시도명,선거구,인구수,상세
경상남도,진주시 을,163098,"진성면, 일반성면, 이반성면, 사봉면, 지수면, 대곡면, 금산면, 집현면, 미천면,중앙동, 상봉동, 상대1동, 상대2동, 하대1동, 하대2동, 상평동, 초장동"
경상남도,통영시·고성군,195273,통영시·고성군 전역
경상남도,사천시·남해군·하동군,211838,사천시·남해군·하동군 전역
경상남도,김해시 갑,278377,"진영읍, 한림면, 생림면, 상동면, 대동면, 동상동,회현동, 부원동, 북부동, 활천동, 삼안동, 불암동"
경상남도,김해시 을,250513,"주촌면, 진례면, 내외동, 칠산·서부동, 장유1동, 장유2동, 장유3동"
경상남도,밀양시·의령군·함안군·창녕군,269325,밀양시·의령군·함안군·창녕군 전역
경상남도,거제시,254725,거제시 전역
경상남도,양산시 갑,145252,"물금읍, 원동면, 상북면, 하북면, 중앙동, 삼성동, 강서동"
경상남도,양산시 을,154473,"동면, 양주동, 서창동, 소주동, 평산동, 덕계동"
경상남도,산청군·함양군·거창군·합천군,188036,산청군·함양군·거창군·합천군 일원
제주특별자치도,제주시 갑,241889,"한림읍, 애월읍, 한경면, 추자면, 삼도1동, 삼도2동, 용담1동,용담2동, 오라동, 연동, 노형동, 외도동, 이호동, 도두동"
제주특별자치도,제주시 을,216619,"구좌읍, 조천읍, 우도면, 일도1동, 일도2동, 이도1동,이도2동, 건입동, 화북동, 삼양동, 봉개동, 아라동"
제주특별자치도,서귀포시,163153,서귀포시 전역
