시도명,의석수,선거구,관할구역,변동,인구수
경기도,59,고양시 을,"고양시 덕양구 효자동, 삼송동, 창릉동, 능곡동, 행주동, 행신1동, 행신2동, 행신3동, 화전동, 대덕동 + 일산동구 백석1동, 백석2동",경계조정,265136
경기도,59,고양시 병,"고양시 일산서구 일산2동 + 일산동구 중산동, 풍산동, 고봉동, 식사동, 정발산동, 마두1동, 마두2동, 장항1동, 장항2동",경계조정,265506
경기도,59,고양시 정,"고양시 일산서구 일산1동, 일산3동, 주엽1동, 주엽2동, 탄현동, 대화동, 송포동, 송산동",,283749
경기도,59,의왕시·과천시,"의왕시 전 지역, 과천시 전 지역",,222678
경기도,59,구리시,구리시 전 지역,,198989
경기도,59,남양주시 갑,"남양주시 평내동, 호평동, 화도읍, 수동면",,208979
경기도,59,남양주시 을,"남양주시 별내동, 진접읍, 오남읍, 별내면",,238586
경기도,59,남양주시 병,"남양주시 금곡동, 양정동, 다산1동, 다산2동, 와부읍, 진건읍, 퇴계원읍, 조안면",,257324
경기도,59,오산시,오산시 전 지역,,226999
경기도,59,시흥시 갑,"시흥시 대야동, 신천동, 신현동, 은행동, 매화동, 목감동, 과림동, 연성동, 장곡동, 능곡동",,249063
경기도,59,시흥시 을,"시흥시 배곧동, 군자동, 월곶동, 정왕본동, 정왕1동, 정왕2동, 정왕3동, 정왕4동",,227815
경기도,59,군포시,군포시 전 지역,통합,275756
경기도,59,하남시,하남시 전 지역,,276522
경기도,59,용인시 갑,용인시 처인구 전 지역,,254059
경기도,59,용인시 을,"용인시 기흥구 영덕1동, 영덕2동, 동백3동, 신갈동, 구갈동, 상갈동, 보라동, 기흥동, 서농동, 상하동",경계조정,269768
경기도,59,용인시 병,"용인시 수지구 풍덕천1동, 풍덕천2동, 죽전2동, 성복동, 동천동, 신봉동, 상현1동",경계조정,280697
경기도,59,용인시 정,"용인시 수지구 죽전1동, 상현2동 + 기흥구 구성동, 마북동, 동백1동, 동백2동, 보정동",경계조정,260109
경기도,59,파주시 갑,"파주시 운정1동, 운정2동, 운정3동, 교하동, 조리읍, 광탄면, 탄현면",,275889
경기도,59,파주시 을,"파주시 금촌1동, 금촌2동, 금촌3동. 문산읍, 법원읍, 파주읍, 월롱면, 적성면, 파평면, 군내면, 진동면",,178244
경기도,59,이천시,이천시 전 지역,,215897
경기도,59,안성시,안성시 전 지역,,183587
경기도,59,김포시 갑,"김포시 김포본동, 사우동, 장기동, 풍무동, 고촌읍",,206608
경기도,59,김포시 을,"김포시 장기본동, 구래동, 마산동, 운양동, 통진읍, 양촌읍, 대곶면, 월곶면, 하성면",,235296
경기도,59,화성시 갑,"화성시 새솔동, 우정읍, 향남읍, 남양읍, 매송면, 비봉면, 마도면, 송산면, 서신면, 팔탄면, 장안면, 양감면, 정남면, 봉담읍 (분천리, 왕림리, 세곡리, 당하리, 마하리, 유리, 덕리, 덕우리, 하가등리, 상기리)",경계조정,239206
경기도,59,화성시 을,"화성시 동탄1동, 동탄2동, 동탄4동, 동탄5동, 동탄6동, 동탄7동, 동탄8동",경계조정,306909
경기도,59,화성시 병,"화성시 병점1동, 병점2동, 동탄3동, 진안동, 반월동, 기배동, 화산동, 봉담읍 (상리, 내리, 수영리, 동화리, 와우리, 수기리)",경계조정,279140
경기도,59,광주시 갑,"광주시 경안동, 송정동, 광남동, 퇴촌면, 남종면, 남한산성면",,189527
경기도,59,광주시 을,"광주시 오포읍, 초월읍, 곤지암읍, 도척면",,184965
경기도,59,양주시,양주시 전 지역,,223138
경기도,59,포천시·가평군,"포천시 전 지역, 가평군 전 지역",,209901
경기도,59,여주시·양평군,"여주시 전 지역, 양평군 전 지역",,227901
강원도,8,춘천시·철원군·화천군·양구군 갑,"춘천시 후평1동, 후평2동, 후평3동, 효자1동, 효자2동, 효자3동, 약사명동, 조운동, 근화동, 소양동, 석사동, 퇴계동, 강남동, 동산면, 신동면, 동내면, 남산면, 남면",구역조정,226285
강원도,8,춘천시·철원군·화천군·양구군 을,"춘천시 신사우동, 신북읍, 사북면, 북산면, 동면, 서면 + 철원군 전 지역, 화천군 전 지역, 양구군 전 지역",구역조정,147742
강원도,8,원주시 갑,"원주시 태장1동, 태장2동, 중앙동, 원인동, 일산동, 학성동, 단계동, 우산동, 무실동, 문막읍, 호저면, 지정면, 부론면, 귀래면",,181775
강원도,8,원주시 을,"원주시 명륜1동, 명륜2동, 개운동, 단구동, 봉산동, 행구동, 반곡관설동, 소초면, 흥업면, 판부면, 신림면",,169395
강원도,8,강릉시,강릉시 전 지역,,213198
강원도,8,동해시·태백시·삼척시·정선군,"동해시 전 지역, 태백시 전 지역, 삼척시 전 지역, 정선군 전 지역",구역조정,236981
강원도,8,속초시·인제군·고성군·양양군,"속초시 전 지역, 인제군 전 지역, 고성군 전 지역, 양양군 전 지역",구역조정,168003
강원도,8,홍천군·횡성군·영월군·평창군,"홍천군 전 지역, 횡성군 전 지역, 영월군 전 지역, 평창군 전 지역",구역조정,195846
충청북도,8,청주시 상당구,청주시 상당구 전 지역,NA,181221
