SFZN_ID,INST_NM,RDNMADR,LNMADR,INST_PURPS,CCTV_CNT,CCTV_PIXEL,PTGRF_INFO,CSTDY_DAY,INST_YYMM,PH_NUMBER,경도,위도,REF_DATE,ID_PRT
21,광명시,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,다목적,1,0,360도전방면,,,182,126.8878698,37.44985605,2021-10-08,0021-V-0002
21,광명시,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,다목적,1,0,360도전방면,,,182,126.8882711,37.4455747,2021-10-08,0021-V-0005
22,광명시,경기도 광명시 한내일로 5,경기도 광명시 소하동 1287,다목적,1,0,360도전방면,,,182,126.8842591,37.45425709,2021-10-26,0022-V-0002
22,광명시,경기도 광명시 한내일로 5,경기도 광명시 소하동 1287,다목적,1,0,360도전방면,,,182,126.8836053,37.45551001,2021-10-26,0022-V-0001
21,광명시,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,다목적,1,0,360도전방면,,,182,126.8897338,37.44767897,2021-10-26,0021-V-0004
21,광명시,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,다목적,1,0,360도전방면,,,182,126.8884004,37.44793022,2021-10-26,0021-V-0006
37,광명시,경기도 광명시 밤일안로42번길 37,경기도 광명시 하안동 463,다목적,1,0,360도전방면,,,182,126.8597543,37.45543624,2021-11-23,0037-V-0001
37,광명시,경기도 광명시 밤일안로42번길 37,경기도 광명시 하안동 463,다목적,1,0,360도전방면,,,182,126.8601467,37.45633187,2021-11-23,0037-V-0002
18,광명시,경기도 광명시 가학로 247-55,경기도 광명시 가학동 1053-2,생활방범,2,0,360도전방면,,,182,126.8724188,37.40205691,2021-11-23,0018-V-0001
18,광명시,경기도 광명시 가학로 247-55,경기도 광명시 가학동 1053-2,다목적,1,0,360도전방면,,,182,126.8721409,37.40205899,2021-11-23,0018-V-0002
6,광명시,경기도 광명시 범안로 657,경기도 광명시 노온사동 361-2,다목적,1,0,360도전방면,,,182,126.8455346,37.4427252,2021-11-23,0006-V-0001
25,광명시,경기도 광명시 성채안로 16,경기도 광명시 소하동 1375,다목적,1,0,360도전방면,,,182,126.8817303,37.41323054,2021-11-26,0025-V-0001
25,광명시,경기도 광명시 성채안로 16,경기도 광명시 소하동 1375,다목적,1,0,360도전방면,,,182,126.8822292,37.41413217,2021-11-26,0025-V-0002
25,광명시,경기도 광명시 성채안로 16,경기도 광명시 소하동 1375,다목적,1,0,360도전방면,,,182,126.8819801,37.41150853,2021-11-26,0025-V-0003
25,광명시,경기도 광명시 성채안로 16,경기도 광명시 소하동 1375,다목적,1,0,360도전방면,,,182,126.8812196,37.41453605,2021-11-26,0025-V-0004
25,광명시,경기도 광명시 성채안로 16,경기도 광명시 소하동 1375,다목적,1,0,360도전방면,,,182,126.8809812,37.41391282,2021-11-26,0025-V-0005
49,광명시,경기도 광명시 성채로78번길 5,경기도 광명시 소하동 1385,다목적,1,0,360도전방면,,,182,126.877392,37.43202732,2021-11-26,0049-V-0001
49,광명시,경기도 광명시 성채로78번길 5,경기도 광명시 소하동 1385,다목적,1,0,360도전방면,,,182,126.8772746,37.43248253,2021-11-26,0049-V-0002
24,광명시,경기도 광명시 성채안로 16,경기도 광명시 소하동 1375,다목적,1,0,360도전방면,,,182,126.8852313,37.43479996,2021-11-26,0024-V-0001
24,광명시,경기도 광명시 성채안로 16,경기도 광명시 소하동 1375,다목적,1,0,360도전방면,,,182,126.8846046,37.4335447,2021-11-26,0024-V-0002
5,광명시,경기도 광명시 오리로 402,경기도 광명시 소하동 904,생활방범,1,0,360도전방면,,,182,126.8809032,37.43920316,2021-11-26,0005-V-0001
5,광명시,경기도 광명시 오리로 402,경기도 광명시 소하동 904,생활방범,1,0,360도전방면,,,182,126.8792896,37.43874733,2021-11-26,0005-V-0002
25,광명시,경기도 광명시 성채안로 16,경기도 광명시 소하동 1375,다목적,1,0,360도전방면,,,182,126.8814962,37.41517453,2021-11-26,0025-V-0006
25,광명시,경기도 광명시 성채안로 16,경기도 광명시 소하동 1375,다목적,1,0,360도전방면,,,182,126.8832348,37.41199499,2021-11-26,0025-V-0007
17,광명시,경기도 광명시 안현로 16,경기도 광명시 하안동 649,다목적,1,0,360도전방면,,,182,126.8747693,37.46315779,2021-10-14,0017-V-0001
17,광명시,경기도 광명시 안현로 16,경기도 광명시 하안동 649,어린이보호,1,0,360도전방면,,,182,126.874299,37.46372541,2021-10-14,0017-V-0002
31,광명시,경기도 광명시 안현로 34,경기도 광명시 하안동 650-3,다목적,1,0,360도전방면,,,182,126.8767817,37.46114162,2021-10-14,0031-V-0002
31,광명시,경기도 광명시 안현로 34,경기도 광명시 하안동 650-3,다목적,1,0,360도전방면,,,182,126.8779118,37.4613974,2021-10-14,0031-V-0001
26,광명시,경기도 광명시 가림로 40,경기도 광명시 하안동 702-5,어린이보호,1,0,360도전방면,,,182,126.8700449,37.46364826,2021-10-14,0026-V-0001
45,광명시,경기도 광명시 가람일로76,경기도 광명시 하안동 684-1,다목적,1,0,360도전방면,,,182,126.8656189,37.46854227,2021-10-14,0045-V-0001
23,광명시,경기도 광명시 도덕공원로 5,경기도 광명시 하안동 864-1,어린이보호,2,0,360도전방면,,,182,126.8688136,37.47002151,2021-10-14,0023-V-0002
23,광명시,경기도 광명시 도덕공원로 5,경기도 광명시 하안동 864-1,어린이보호,1,0,360도전방면,,,182,126.8670646,37.47128303,2021-10-14,0023-V-0001
47,광명시,경기도 광명시 오리로 841번길 9,경기도 광명시 철산동 496-3,다목적,1,0,360도전방면,,,182,126.8656829,37.47120995,2021-10-14,0047-V-0001
47,광명시,경기도 광명시 오리로 841번길 9,경기도 광명시 철산동 496-3,다목적,1,0,360도전방면,,,182,126.8655433,37.47231593,2021-10-14,0047-V-0002
